Classifier;Iris;Wine;Breast Cancer;Digits;KeyStrokeDynamics
Nearest Neighbors;0,9667;0,8611;0,9298;0,9778;0,8824
Linear SVM;0,8000;0,7500;0,8947;0,9806;0,7669
RBF SVM;1,0000;0,7222;0,4386;0,8444;0,8115
Decision Tree;1,0000;0,6944;0,4035;0,6389;0,2772
Random Forest;0,9667;0,9722;0,7105;0,8639;0,6233
Neural Net;0,9667;0,7222;0,8860;0,9778;0,4252
AdaBoost;0,9667;0,9167;0,5702;0,3278;0,0762
Naive Bayes;0,9333;0,9167;0,6316;0,8139;0,6686
Logistic Regression;0,6667;0,6944;0,8421;0,9667;0,7414
Gradient Boosting;0,9667;0,9444;0,7018;0,9917;0,9426
