,Id,H_k1,DD_k1_k2,DU_k1_k2,H_k2,DD_k2_k3,DU_k2_k3,H_k3,DD_k3_k4,DU_k3_k4,H_k4,DD_k4_k5,DU_k4_k5,H_k5,DD_k5_k6,DU_k5_k6,H_k6,DD_k6_k7,DU_k6_k7,H_k7,DD_k7_k8,DU_k7_k8,H_k8,DD_k8_k9,DU_k8_k9,H_k9,DD_k9_k10,DU_k9_k10,H_k10,PromptId,UserId
0,1,95,731,723,87,279,269,77,452,469,94,338,352,108,284,263,87,327,334,94,393,424,125,387,359,97,332,351,116,1.0,1
1,2,100,173,179,106,369,350,87,551,561,97,331,330,96,375,355,76,426,451,101,407,405,99,355,341,85,332,336,89,1.0,1
2,3,79,151,192,120,366,326,80,317,314,77,367,385,95,331,314,78,372,404,110,370,360,100,324,302,78,452,455,81,1.0,1
3,4,73,137,176,112,364,335,83,328,328,83,360,366,89,355,341,75,418,473,130,414,373,89,369,336,56,311,380,125,1.0,1
4,5,96,335,341,102,361,347,88,299,311,100,346,354,108,395,386,99,298,342,143,416,390,117,295,267,89,289,346,146,1.0,1
5,6,115,295,287,107,356,347,98,307,315,106,369,371,108,485,462,85,445,469,109,441,450,118,321,283,80,318,357,119,1.0,1
6,7,91,279,302,114,386,357,85,374,395,106,362,351,95,412,393,76,330,357,103,367,376,112,304,274,82,336,330,76,1.0,1
7,8,90,238,256,108,406,393,95,600,627,122,361,339,100,344,323,79,742,775,112,349,352,115,324,302,93,291,302,104,1.0,1
8,9,83,292,324,115,339,313,89,419,427,97,303,314,108,375,351,84,472,527,139,382,371,128,306,262,84,236,292,140,1.0,1
9,10,102,198,218,122,377,352,97,378,371,90,284,280,86,362,358,82,302,335,115,356,354,113,296,279,96,341,378,133,1.0,1
10,11,101,197,235,139,347,305,97,376,393,114,301,285,98,309,320,109,357,352,104,348,369,125,247,217,95,164,196,127,1.0,1
11,12,114,292,273,95,439,444,100,378,390,112,400,371,83,404,427,106,260,261,107,310,313,110,565,535,80,124,123,79,,1
12,13,110,832,838,116,394,377,99,330,322,91,395,408,104,339,375,140,387,338,91,666,662,87,679,729,137,401,382,118,,1
13,14,121,664,639,96,641,674,129,480,468,117,344,357,130,379,341,92,413,420,99,335,348,112,427,399,84,606,605,83,,1
14,15,97,350,349,96,472,492,116,360,344,100,371,361,90,133,158,115,473,436,78,388,408,98,600,594,92,366,358,84,,1
15,16,72,315,336,93,361,362,94,439,437,92,519,512,85,343,364,106,681,667,92,393,425,124,156,157,125,297,274,102,,1
16,17,97,234,228,91,793,822,120,399,363,84,382,425,127,809,799,117,873,864,108,541,539,106,783,798,121,271,239,89,,1
17,18,136,210,218,144,404,349,89,637,663,115,191,174,98,421,436,113,328,307,92,219,223,96,541,544,99,278,295,116,,1
18,19,107,318,315,104,351,386,139,867,828,100,251,257,106,405,435,136,384,340,92,344,359,107,296,292,103,374,387,116,,1
19,20,112,291,285,106,271,277,112,542,560,130,1396,1365,99,500,474,73,183,186,76,181,192,87,1142,1131,76,438,439,77,,1
20,21,94,457,472,109,325,343,127,638,563,52,463,507,96,420,440,116,626,610,100,393,377,84,345,393,132,391,393,134,,1
21,22,104,863,860,101,499,492,94,991,989,92,902,943,133,385,340,88,448,479,119,518,506,107,330,353,130,727,688,91,,1
